name,student_id,age,gender,attendance,scholarship,co_curricular_activities,marks,assignment_submission,debtor,displaced,income,prediction
Aarav,S001,11,Male,95,Yes,Yes,88,Yes,No,No,180000,Low
Ananya,S002,12,Female,92,Yes,Yes,91,Yes,No,No,160000,Low
Rahul,S003,13,Male,68,No,No,45,Half,Yes,Yes,70000,High
Priya,S004,10,Female,85,Yes,Yes,78,Yes,No,No,140000,Low
Mohit,S005,14,Male,74,No,No,55,Half,Yes,No,90000,Medium
Sneha,S006,15,Female,97,Yes,Yes,93,Yes,No,No,220000,Low
Rohan,S007,13,Male,62,No,No,41,No,Yes,Yes,60000,High
Pooja,S008,12,Female,88,Yes,Yes,81,Yes,No,No,170000,Low
Deepak,S009,14,Male,79,No,Yes,64,Half,No,No,120000,Medium
Kiran,S010,11,Female,58,No,No,39,No,Yes,Yes,65000,High
Vikas,S011,15,Male,91,Yes,Yes,87,Yes,No,No,210000,Low
Neha,S012,10,Female,82,Yes,No,72,Yes,No,No,150000,Low
Arjun,S013,13,Male,69,No,Yes,53,Half,Yes,No,95000,Medium
Kavya,S014,12,Female,93,Yes,Yes,90,Yes,No,No,200000,Low
Manoj,S015,14,Male,55,No,No,37,No,Yes,Yes,55000,High
Ritu,S016,11,Female,86,Yes,Yes,80,Yes,No,No,165000,Low
Nitin,S017,15,Male,77,No,Yes,60,Half,No,No,125000,Medium
Suman,S018,13,Female,63,No,No,42,No,Yes,Yes,72000,High
Yash,S019,12,Male,90,Yes,Yes,84,Yes,No,No,195000,Low
Asha,S020,10,Female,81,Yes,No,74,Yes,No,No,145000,Low
Rakesh,S021,14,Male,71,No,No,57,Half,Yes,No,98000,Medium
Komal,S022,11,Female,60,No,No,40,No,Yes,Yes,68000,High
Harsh,S023,15,Male,94,Yes,Yes,89,Yes,No,No,205000,Low
Meena,S024,12,Female,83,Yes,Yes,76,Yes,No,No,155000,Low
Amit,S025,13,Male,73,No,Yes,59,Half,No,No,110000,Medium
Jyoti,S026,14,Female,57,No,No,35,No,Yes,Yes,60000,High
Kunal,S027,11,Male,89,Yes,Yes,82,Yes,No,No,175000,Low
Divya,S028,10,Female,84,Yes,No,79,Yes,No,No,150000,Low
Sahil,S029,15,Male,66,No,No,48,Half,Yes,Yes,75000,High
Rekha,S030,13,Female,78,No,Yes,63,Half,No,No,118000,Medium
Aditya,S031,12,Male,96,Yes,Yes,94,Yes,No,No,230000,Low
Payal,S032,11,Female,87,Yes,Yes,83,Yes,No,No,165000,Low
Gaurav,S033,14,Male,72,No,No,56,Half,Yes,No,92000,Medium
Nisha,S034,13,Female,59,No,No,38,No,Yes,Yes,58000,High
Ravi,S035,15,Male,93,Yes,Yes,90,Yes,No,No,215000,Low
Shreya,S036,12,Female,85,Yes,Yes,77,Yes,No,No,168000,Low
Akash,S037,11,Male,76,No,Yes,61,Half,No,No,115000,Medium
Muskan,S038,10,Female,61,No,No,43,No,Yes,Yes,69000,High
Lokesh,S039,14,Male,92,Yes,Yes,88,Yes,No,No,198000,Low
Tanya,S040,13,Female,80,Yes,No,73,Yes,No,No,152000,Low
Suraj,S041,15,Male,70,No,No,54,Half,Yes,No,97000,Medium
Sapna,S042,12,Female,56,No,No,36,No,Yes,Yes,62000,High
Naveen,S043,11,Male,95,Yes,Yes,92,Yes,No,No,225000,Low
Bhavna,S044,10,Female,86,Yes,Yes,81,Yes,No,No,170000,Low
Vinay,S045,14,Male,75,No,Yes,58,Half,No,No,112000,Medium
Seema,S046,13,Female,64,No,No,46,Half,Yes,Yes,73000,High
Rohit,S047,15,Male,91,Yes,Yes,86,Yes,No,No,208000,Low
Pallavi,S048,12,Female,82,Yes,Yes,75,Yes,No,No,158000,Low
Hemant,S049,11,Male,67,No,No,49,Half,Yes,Yes,76000,High
Geeta,S050,10,Female,79,No,Yes,66,Half,No,No,122000,Medium
Jaya,S076,11,Female,87,Yes,Yes,81,Yes,No,No,175000,Low
Jatin,S077,14,Male,73,No,Yes,60,Half,No,No,118000,Medium
Kalpana,S078,13,Female,58,No,No,40,No,Yes,Yes,65000,High
Kailash,S079,15,Male,94,Yes,Yes,89,Yes,No,No,210000,Low
Laxmi,S080,10,Female,82,Yes,Yes,75,Yes,No,No,160000,Low
Kartik,S081,12,Male,76,No,Yes,63,Half,No,No,125000,Medium
Madhu,S082,14,Female,61,No,No,44,No,Yes,Yes,70000,High
Krishna,S083,13,Male,91,Yes,Yes,87,Yes,No,No,198000,Low
Nandini,S084,11,Female,79,No,Yes,68,Half,No,No,132000,Medium
Mahesh,S085,15,Male,54,No,No,35,No,Yes,Yes,56000,High
Pallavi,S086,12,Female,89,Yes,Yes,84,Yes,No,No,185000,Low
Mukesh,S087,14,Male,74,No,No,58,Half,Yes,No,97000,Medium
Pinki,S088,10,Female,65,No,No,47,Half,Yes,Yes,76000,High
Naveen,S089,13,Male,96,Yes,Yes,93,Yes,No,No,228000,Low
Poonam,S090,15,Female,81,Yes,No,72,Yes,No,No,150000,Low
Nikhil,S091,11,Male,70,No,Yes,57,Half,No,Yes,108000,Medium
Radha,S092,12,Female,57,No,No,38,No,Yes,Yes,61000,High
Omprakash,S093,14,Male,92,Yes,Yes,90,Yes,No,No,205000,Low
Rani,S094,13,Female,78,No,Yes,64,Half,No,No,127000,Medium
Pankaj,S095,15,Male,63,No,No,45,Half,Yes,Yes,73000,High
Reena,S096,10,Female,88,Yes,Yes,82,Yes,No,No,176000,Low
Pradeep,S097,12,Male,75,No,Yes,61,Half,No,No,119000,Medium
Roshni,S098,11,Female,56,No,No,36,No,Yes,Yes,59000,High
Ramesh,S099,13,Male,95,Yes,Yes,91,Yes,No,No,220000,Low
Sakshi,S100,14,Female,83,Yes,Yes,78,Yes,No,No,168000,Low
Naresh,S051,12,Male,87,Yes,No,76,Yes,No,No,148434,Low
Vivek,S052,10,Male,70,No,Yes,56,Half,No,No,126781,Medium
Om,S053,15,Male,61,No,No,38,Half,Yes,Yes,74309,High
Indira,S054,10,Female,67,No,No,37,Half,Yes,Yes,66149,High
Pihu,S055,12,Female,82,Yes,Yes,84,Yes,No,No,182052,Low
Garima,S056,10,Female,76,No,Yes,61,Half,Yes,No,95164,Medium
Ira,S057,14,Female,64,No,No,38,No,Yes,Yes,56501,High
Girish,S058,10,Male,68,No,No,36,Half,Yes,Yes,64108,High
Trisha,S059,12,Female,74,No,Yes,58,Half,Yes,No,94679,Medium
Ajay,S060,11,Male,76,No,No,59,Half,No,No,111252,Medium
Abhishek,S061,10,Male,92,Yes,Yes,80,Yes,No,No,162653,Low
Kajal,S062,13,Female,94,Yes,Yes,76,Yes,No,No,153301,Low
Devendra,S063,14,Male,66,No,No,44,Half,Yes,Yes,74121,High
Sarita,S064,11,Female,95,Yes,Yes,74,Yes,No,No,149371,Low
Dinesh,S065,15,Male,78,No,No,54,Half,Yes,No,120674,Medium
Devika,S066,10,Female,66,No,No,36,Half,Yes,Yes,76003,High
Trisha,S067,13,Female,94,Yes,No,72,Yes,No,No,229329,Low
Sarita,S068,11,Female,69,No,No,36,Half,Yes,Yes,75937,High
Om,S069,11,Male,96,Yes,No,72,Yes,No,No,177487,Low
Esha,S070,12,Female,87,Yes,Yes,73,Yes,No,No,209364,Low
Rajesh,S071,13,Male,97,Yes,Yes,96,Yes,No,No,151828,Low
Bhumika,S072,11,Female,63,No,No,48,Half,Yes,Yes,61940,High
Chirag,S073,13,Male,65,No,No,40,Half,Yes,Yes,71959,High
Nidhi,S074,11,Female,90,Yes,No,72,Yes,No,No,207603,Low
Rajesh,S075,10,Male,80,No,Yes,63,Half,No,No,94417,Medium
Ishaan,S076,10,Male,58,No,No,39,Half,Yes,Yes,62020,High
Rehan,S077,14,Male,62,No,No,38,Half,Yes,Yes,68338,High
Dinesh,S078,15,Male,91,Yes,Yes,85,Yes,No,No,196213,Low
Sameer,S079,15,Male,69,No,No,59,Half,No,No,106295,Medium
Vishal,S080,13,Male,93,Yes,Yes,77,Yes,No,No,195637,Low
Vikram,S081,10,Male,67,No,No,48,No,Yes,Yes,56657,High
Ajay,S082,11,Male,61,No,No,42,Half,Yes,Yes,62004,High
Jaya,S083,11,Female,55,No,No,41,Half,Yes,Yes,69909,High
Varsha,S084,15,Female,79,No,No,64,Half,No,No,102445,Medium
Xitija,S085,10,Female,97,Yes,No,73,Yes,No,No,176104,Low
Ishaan,S086,13,Male,96,Yes,Yes,77,Yes,No,No,201562,Low
Uday,S087,10,Male,56,No,No,45,No,Yes,Yes,68230,High
Naresh,S088,14,Male,64,No,No,44,No,Yes,Yes,75295,High
Rehan,S089,14,Male,77,No,No,58,Half,No,No,110590,Medium
Chirag,S090,11,Male,89,Yes,Yes,86,Yes,No,No,233548,Low
Rehan,S091,14,Male,83,Yes,No,74,Yes,No,No,162938,Low
Nidhi,S092,12,Female,87,Yes,Yes,83,Yes,No,No,155676,Low
Esha,S093,15,Female,64,No,No,47,No,Yes,Yes,76884,High
Riya,S094,10,Female,59,No,No,36,No,Yes,Yes,73128,High
Ashok,S095,14,Male,90,Yes,No,78,Yes,No,No,218130,Low
Mansi,S096,12,Female,70,No,No,63,Half,Yes,No,92889,Medium
Alok,S097,11,Male,88,Yes,No,77,Yes,No,No,192912,Low
Nidhi,S098,10,Female,80,No,Yes,55,Half,Yes,No,126210,Medium
Yogesh,S099,10,Male,74,No,Yes,65,Half,Yes,No,103767,Medium
Jayant,S100,12,Male,77,No,No,66,Half,No,No,105514,Medium
Mukesh,S101,11,Male,55,No,No,37,Half,Yes,Yes,68491,High
Sameer,S102,15,Male,92,Yes,Yes,73,Yes,No,No,164154,Low
Nikhil,S103,13,Male,59,No,No,48,No,Yes,Yes,62304,High
Saurabh,S104,13,Male,73,No,Yes,66,Half,Yes,No,113012,Medium
Gauri,S105,14,Female,69,No,No,54,Half,No,No,107397,Medium
Nikhil,S106,13,Male,90,Yes,No,85,Yes,No,No,202033,Low
Sunil,S107,14,Male,88,Yes,No,73,Yes,No,No,192154,Low
Dhruv,S108,14,Male,80,No,Yes,64,Half,Yes,No,118265,Medium
Zubin,S109,12,Male,60,No,No,45,No,Yes,Yes,64840,High
Kajal,S110,12,Female,80,No,Yes,57,Half,No,No,117554,Medium
Zoya,S111,11,Female,78,No,No,57,Half,No,No,109914,Medium
Yashika,S112,14,Female,90,Yes,Yes,86,Yes,No,No,192954,Low
Ajay,S113,15,Male,79,No,No,54,Half,Yes,No,96120,Medium
Sunil,S114,11,Male,71,No,Yes,53,Half,No,No,121138,Medium
Rehan,S115,15,Male,72,No,No,64,Half,Yes,No,116191,Medium
Aman,S116,15,Male,83,Yes,Yes,96,Yes,No,No,163683,Low
Kabir,S117,15,Male,62,No,No,35,No,Yes,Yes,58976,High
Charu,S118,13,Female,96,Yes,No,89,Yes,No,No,176588,Low
Sarita,S119,15,Female,75,No,No,66,Half,No,No,121108,Medium
Anjali,S120,11,Female,88,Yes,No,96,Yes,No,No,198517,Low
Farhan,S121,10,Male,89,Yes,Yes,79,Yes,No,No,179020,Low
Riya,S122,10,Female,57,No,No,38,Half,Yes,Yes,60007,High
Saurabh,S123,13,Male,97,Yes,Yes,86,Yes,No,No,143161,Low
Jayant,S124,13,Male,64,No,No,46,No,Yes,Yes,73864,High
Esha,S125,12,Female,75,No,No,66,Half,No,No,121996,Medium
Vivek,S126,13,Male,92,Yes,No,82,Yes,No,No,224016,Low
Riya,S127,13,Female,64,No,No,43,No,Yes,Yes,67911,High
Vishal,S128,13,Male,94,Yes,Yes,77,Yes,No,No,169099,Low
Falguni,S129,13,Female,90,Yes,Yes,96,Yes,No,No,171471,Low
Preeti,S130,10,Female,80,Yes,No,95,Yes,No,No,141826,Low
Jhanvi,S131,10,Female,81,Yes,Yes,96,Yes,No,No,167411,Low
Manish,S132,14,Male,58,No,No,37,Half,Yes,Yes,76936,High
Chetan,S133,11,Male,80,No,No,57,Half,No,No,97506,Medium
Shivam,S134,10,Male,55,No,No,49,Half,Yes,Yes,73867,High
Vidya,S135,15,Female,82,Yes,No,90,Yes,No,No,217213,Low
Dhruv,S136,12,Male,83,Yes,Yes,90,Yes,No,No,180508,Low
Sarita,S137,10,Female,79,No,Yes,58,Half,Yes,No,122125,Medium
Alok,S138,12,Male,76,No,Yes,64,Half,Yes,No,101543,Medium
Jhanvi,S139,14,Female,76,No,No,60,Half,Yes,No,111122,Medium
Ramesh,S140,10,Male,69,No,No,42,No,Yes,Yes,70227,High
Falguni,S141,13,Female,85,Yes,Yes,87,Yes,No,No,181507,LowA
Ekta,S142,14,Female,88,Yes,Yes,89,Yes,No,No,202715,Low
Mukesh,S143,15,Male,95,Yes,Yes,89,Yes,No,No,225519,Low
Namrata,S144,13,Female,69,No,No,54,Half,No,No,116502,Medium
Varun,S145,14,Male,95,Yes,No,89,Yes,No,No,180056,Low
Gauri,S146,14,Female,60,No,No,46,Half,Yes,Yes,63877,High
Garima,S147,10,Female,86,Yes,Yes,82,Yes,No,No,232370,Low
Anand,S148,15,Male,88,Yes,No,95,Yes,No,No,234641,Low
Diya,S149,11,Female,58,No,No,40,No,Yes,Yes,64904,High
Ramesh,S150,11,Male,55,No,No,35,Half,Yes,Yes,59137,High
Esha,S151,14,Female,86,Yes,Yes,95,Yes,No,No,234249,Low
Mahi,S152,15,Female,80,No,No,60,Half,Yes,No,124559,Medium
Saurabh,S153,15,Male,96,Yes,No,74,Yes,No,No,162050,Low
Simran,S154,15,Female,63,No,No,38,Half,Yes,Yes,56916,High
Qudsia,S155,13,Female,80,No,Yes,64,Half,Yes,No,115579,Medium
Falguni,S156,11,Female,93,Yes,Yes,85,Yes,No,No,209408,Low
Girish,S157,13,Male,58,No,No,35,No,Yes,Yes,55636,High
Jhanvi,S158,12,Female,64,No,No,47,Half,Yes,Yes,75109,High
Uday,S159,15,Male,87,Yes,Yes,79,Yes,No,No,182934,Low
Uday,S160,13,Male,84,Yes,Yes,80,Yes,No,No,216742,Low
Falak,S161,15,Female,94,Yes,No,77,Yes,No,No,226172,Low
Shivam,S162,11,Male,82,Yes,Yes,75,Yes,No,No,135565,Low
Nikhil,S163,11,Male,72,No,Yes,54,Half,Yes,No,105681,Medium
Tanvi,S164,13,Female,75,No,No,63,Half,No,No,94643,Medium
Winnie,S165,11,Female,88,Yes,Yes,88,Yes,No,No,199909,Low
Pankaj,S166,13,Male,63,No,No,48,No,Yes,Yes,65484,High
Xitija,S167,10,Female,69,No,No,49,Half,Yes,Yes,75756,High
Kabir,S168,10,Male,84,Yes,No,78,Yes,No,No,215602,Low
Naresh,S169,11,Male,62,No,No,44,No,Yes,Yes,60309,High
Lalit,S170,10,Male,97,Yes,No,91,Yes,No,No,138955,Low
Eshan,S171,14,Male,74,No,Yes,53,Half,Yes,No,91895,Medium
Omkar,S172,15,Male,86,Yes,Yes,90,Yes,No,No,219482,Low
Abhishek,S173,13,Male,73,No,No,64,Half,Yes,No,104239,Medium
Pallavi,S174,13,Female,75,No,Yes,62,Half,No,No,100510,Medium
Hina,S175,11,Female,94,Yes,Yes,93,Yes,No,No,150630,Low
Indira,S176,11,Female,77,No,Yes,59,Half,No,No,120449,Medium
Madhuri,S177,10,Female,74,No,No,53,Half,Yes,No,100331,Medium
Mohan,S178,10,Male,75,No,Yes,54,Half,No,No,91657,Medium
Radhika,S179,12,Female,85,Yes,Yes,83,Yes,No,No,191866,Low
Lavanya,S180,11,Female,70,No,No,54,Half,Yes,No,101839,Medium
Ranjit,S181,13,Male,80,Yes,Yes,80,Yes,No,No,150418,Low
Riya,S182,14,Female,72,No,Yes,62,Half,Yes,No,96730,Medium
Indira,S183,11,Female,72,No,Yes,53,Half,No,No,114762,Medium
Nandini,S184,11,Female,79,No,No,56,Half,Yes,No,113386,Medium
Kajal,S185,13,Female,73,No,Yes,58,Half,No,No,113465,Medium
Rehan,S186,13,Male,73,No,Yes,57,Half,Yes,No,125452,Medium
Ashok,S187,15,Male,88,Yes,No,85,Yes,No,No,152642,Low
Lakshmi,S188,14,Female,84,Yes,Yes,96,Yes,No,No,201220,Low
Pradeep,S189,12,Male,72,No,No,63,Half,Yes,No,102046,Medium
Yashika,S190,10,Female,65,No,No,41,No,Yes,Yes,59382,High
Sunil,S191,12,Male,70,No,No,65,Half,No,No,107135,Medium
Ajay,S192,13,Male,58,No,No,46,Half,Yes,Yes,63722,High
Shivam,S193,10,Male,73,No,No,55,Half,No,No,104593,Medium
Ranjit,S194,15,Male,84,Yes,Yes,94,Yes,No,No,225008,Low
Mukesh,S195,12,Male,60,No,No,45,Half,Yes,Yes,72924,High
Siddharth,S196,12,Male,84,Yes,Yes,90,Yes,No,No,157412,Low
Riya,S197,14,Female,93,Yes,No,95,Yes,No,No,160053,Low
Eshan,S198,15,Male,58,No,No,39,No,Yes,Yes,75907,High
Mukesh,S199,14,Male,55,No,No,42,No,Yes,Yes,64074,High
Preeti,S200,12,Female,79,No,No,62,Half,No,No,108589,Medium
Alok,S201,13,Male,91,Yes,Yes,88,Yes,No,No,182676,Low
Pranav,S202,15,Male,88,Yes,Yes,78,Yes,No,No,192622,Low
Simran,S203,10,Female,83,Yes,Yes,85,Yes,No,No,171925,Low
Chirag,S204,10,Male,62,No,No,42,No,Yes,Yes,72257,High
Abhishek,S205,15,Male,79,No,No,61,Half,Yes,No,109224,Medium
Girdhar,S206,15,Male,77,No,Yes,60,Half,Yes,No,110564,Medium
Zoya,S207,11,Female,97,Yes,Yes,89,Yes,No,No,180337,Low
Isha,S208,12,Female,90,Yes,Yes,96,Yes,No,No,160661,Low
Kabir,S209,13,Male,55,No,No,37,No,Yes,Yes,70839,High
Vidya,S210,13,Female,84,Yes,Yes,76,Yes,No,No,136742,Low
Ritika,S211,13,Female,87,Yes,Yes,75,Yes,No,No,215013,Low
Devika,S212,15,Female,96,Yes,No,85,Yes,No,No,217181,Low
Sarita,S213,10,Female,93,Yes,Yes,87,Yes,No,No,200088,Low
Ojal,S214,10,Female,66,No,No,42,No,Yes,Yes,63781,High
Omkar,S215,14,Male,91,Yes,Yes,74,Yes,No,No,198454,Low
Bindiya,S216,12,Female,61,No,No,46,Half,Yes,Yes,71404,High
Aditi,S217,10,Female,68,No,No,43,Half,Yes,Yes,60366,High
Ramesh,S218,10,Male,81,Yes,Yes,75,Yes,No,No,156319,Low
Ramesh,S219,14,Male,82,Yes,Yes,76,Yes,No,No,167815,Low
